NO,우선순위,K,lon,lat,id,시,구,도로명주소
89,11,13,126.8771851,37.50127567,2915,서울특별시,구로구,서울특별시 구로구 경인로 531
90,12,13,126.8164618,37.58476484,2914,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
91,13,13,127.0737078,37.55983509,2913,서울특별시,광진구,서울특별시 광진구 동일로 322
92,1,14,127.1034226,37.50766,2912,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
93,2,14,127.0668206,37.57603432,2911,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
94,3,14,127.0356428,37.49028717,2910,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
95,4,14,127.0169049,37.58936078,2909,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
96,5,14,127.0785766,37.49946173,2908,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
97,6,14,126.9060274,37.57353209,2907,서울특별시,서대문구,서울특별시 서대문구 수색로 123
98,7,14,126.8475203,37.52995871,2906,서울특별시,강서구,서울특별시 강서구 강서로 21
99,8,14,127.129303,37.53658752,2905,서울특별시,강동구,서울특별시 강동구 천호대로 1056
100,9,14,127.0589677,37.56338635,2904,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
101,10,14,126.8608626,37.55797338,2903,서울특별시,강서구,서울특별시 강서구 양천로 556
102,11,14,126.9022103,37.48427922,2902,서울특별시,구로구,서울특별시 구로구 시흥대로 573
103,12,14,126.8771851,37.50127567,2901,서울특별시,구로구,서울특별시 구로구 경인로 531
104,13,14,126.8164618,37.58476484,2900,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
105,14,14,127.0737078,37.55983509,2899,서울특별시,광진구,서울특별시 광진구 동일로 322
106,1,15,127.1034226,37.50766,2898,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
107,2,15,127.0668206,37.57603432,2897,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
108,3,15,127.0356428,37.49028717,2896,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
109,4,15,127.0169049,37.58936078,2895,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
110,5,15,127.0785766,37.49946173,2894,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
111,6,15,126.9060274,37.57353209,2893,서울특별시,서대문구,서울특별시 서대문구 수색로 123
112,7,15,126.8475203,37.52995871,2892,서울특별시,강서구,서울특별시 강서구 강서로 21
113,8,15,127.129303,37.53658752,2891,서울특별시,강동구,서울특별시 강동구 천호대로 1056
114,9,15,127.0589677,37.56338635,2890,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
115,10,15,126.8270683,37.53885739,2889,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
116,11,15,126.8608626,37.55797338,2888,서울특별시,강서구,서울특별시 강서구 양천로 556
117,12,15,126.9022103,37.48427922,2887,서울특별시,구로구,서울특별시 구로구 시흥대로 573
118,13,15,126.8771851,37.50127567,2886,서울특별시,구로구,서울특별시 구로구 경인로 531
119,14,15,126.8164618,37.58476484,2885,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
120,15,15,127.0737078,37.55983509,2884,서울특별시,광진구,서울특별시 광진구 동일로 322
121,1,16,127.1034226,37.50766,2883,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
122,2,16,127.0668206,37.57603432,2882,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
123,3,16,127.0356428,37.49028717,2881,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
124,4,16,127.0169049,37.58936078,2880,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
125,5,16,127.0785766,37.49946173,2879,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
126,6,16,126.9060274,37.57353209,2878,서울특별시,서대문구,서울특별시 서대문구 수색로 123
127,7,16,126.8475203,37.52995871,2877,서울특별시,강서구,서울특별시 강서구 강서로 21
128,8,16,127.129303,37.53658752,2876,서울특별시,강동구,서울특별시 강동구 천호대로 1056
129,9,16,127.0589677,37.56338635,2875,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
130,10,16,126.8270683,37.53885739,2874,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
131,11,16,126.8316682,37.53077141,2873,서울특별시,양천구,서울특별시 양천구 남부순환로 412
132,12,16,126.8608626,37.55797338,2872,서울특별시,강서구,서울특별시 강서구 양천로 556
133,13,16,126.9022103,37.48427922,2871,서울특별시,구로구,서울특별시 구로구 시흥대로 573
134,14,16,126.8771851,37.50127567,2870,서울특별시,구로구,서울특별시 구로구 경인로 531
135,15,16,126.8164618,37.58476484,2869,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
136,16,16,127.0737078,37.55983509,2868,서울특별시,광진구,서울특별시 광진구 동일로 322
137,1,17,127.1034226,37.50766,2867,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
138,2,17,127.0668206,37.57603432,2866,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
139,3,17,127.0356428,37.49028717,2865,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
140,4,17,127.0169049,37.58936078,2864,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
141,5,17,127.0785766,37.49946173,2863,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
142,6,17,126.9060274,37.57353209,2862,서울특별시,서대문구,서울특별시 서대문구 수색로 123
143,7,17,126.8475203,37.52995871,2861,서울특별시,강서구,서울특별시 강서구 강서로 21
144,8,17,127.129303,37.53658752,2860,서울특별시,강동구,서울특별시 강동구 천호대로 1056
145,9,17,127.0589677,37.56338635,2859,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
146,10,17,126.8270683,37.53885739,2858,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
147,11,17,126.8316682,37.53077141,2857,서울특별시,양천구,서울특별시 양천구 남부순환로 412
148,12,17,126.8374145,37.52088897,2856,서울특별시,양천구,서울특별시 양천구 남부순환로 538
149,13,17,126.8608626,37.55797338,2855,서울특별시,강서구,서울특별시 강서구 양천로 556
150,14,17,126.9022103,37.48427922,2854,서울특별시,구로구,서울특별시 구로구 시흥대로 573
