NO,K,lon,lat,id,시,구,도로명주소
127,16,126.8475203,37.52995871,2877,서울특별시,강서구,서울특별시 강서구 강서로 21
128,16,127.129303,37.53658752,2876,서울특별시,강동구,서울특별시 강동구 천호대로 1056
129,16,127.0589677,37.56338635,2875,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
130,16,126.8270683,37.53885739,2874,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
131,16,126.8316682,37.53077141,2873,서울특별시,양천구,서울특별시 양천구 남부순환로 412
132,16,126.8608626,37.55797338,2872,서울특별시,강서구,서울특별시 강서구 양천로 556
133,16,126.9022103,37.48427922,2871,서울특별시,구로구,서울특별시 구로구 시흥대로 573
134,16,126.8771851,37.50127567,2870,서울특별시,구로구,서울특별시 구로구 경인로 531
135,16,126.8164618,37.58476484,2869,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
136,16,127.0737078,37.55983509,2868,서울특별시,광진구,서울특별시 광진구 동일로 322
137,17,127.1034226,37.50766,2867,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
138,17,127.0668206,37.57603432,2866,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
139,17,127.0356428,37.49028717,2865,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
140,17,127.0169049,37.58936078,2864,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
141,17,127.0785766,37.49946173,2863,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
142,17,126.9060274,37.57353209,2862,서울특별시,서대문구,서울특별시 서대문구 수색로 123
143,17,126.8475203,37.52995871,2861,서울특별시,강서구,서울특별시 강서구 강서로 21
144,17,127.129303,37.53658752,2860,서울특별시,강동구,서울특별시 강동구 천호대로 1056
145,17,127.0589677,37.56338635,2859,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
146,17,126.8270683,37.53885739,2858,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
147,17,126.8316682,37.53077141,2857,서울특별시,양천구,서울특별시 양천구 남부순환로 412
148,17,126.8374145,37.52088897,2856,서울특별시,양천구,서울특별시 양천구 남부순환로 538
149,17,126.8608626,37.55797338,2855,서울특별시,강서구,서울특별시 강서구 양천로 556
150,17,126.9022103,37.48427922,2854,서울특별시,구로구,서울특별시 구로구 시흥대로 573
151,17,126.8771851,37.50127567,2853,서울특별시,구로구,서울특별시 구로구 경인로 531
