사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 중구 남학동,13,5,4,0,0,0,4,0,0,0,0,0,0,0
서울특별시 중구 주자동,46,11,18,4,0,0,12,0,1,0,0,0,0,0
서울특별시 중구 예장동,360,69,149,23,17,0,80,0,18,0,0,0,1,3
서울특별시 중구 장충동1가,557,132,199,40,9,0,159,0,14,0,0,0,2,2
서울특별시 중구 장충동2가,764,126,321,63,13,0,209,0,25,0,1,0,1,5
서울특별시 중구 광희동1가,243,44,112,17,1,0,62,0,6,0,0,0,1,0
서울특별시 중구 광희동2가,224,33,103,20,0,0,61,0,4,0,0,0,0,3
서울특별시 중구 쌍림동,289,58,125,21,3,0,72,1,9,0,0,0,0,0
서울특별시 중구 을지로6가,246,60,114,9,1,0,50,0,9,0,1,0,1,1
서울특별시 중구 을지로7가,53,15,19,4,0,0,9,0,1,0,0,0,0,5
서울특별시 중구 을지로4가,134,38,60,2,2,0,27,0,4,0,0,0,0,1
서울특별시 중구 을지로5가,222,44,109,12,0,0,48,0,9,0,0,0,0,0
서울특별시 중구 주교동,167,40,80,5,0,0,39,0,2,0,0,0,0,1
서울특별시 중구 방산동,42,4,28,1,1,0,8,0,0,0,0,0,0,0
서울특별시 중구 오장동,309,58,137,39,0,0,71,0,3,0,1,0,0,0
서울특별시 중구 을지로3가,394,89,183,17,0,0,95,0,9,0,0,0,1,0
서울특별시 중구 입정동,150,18,87,10,1,0,32,0,2,0,0,0,0,0
서울특별시 중구 산림동,175,38,87,6,2,0,40,0,2,0,0,0,0,0
서울특별시 중구 충무로3가,249,48,85,9,3,0,92,0,11,0,0,0,1,0
서울특별시 중구 초동,162,22,70,6,0,0,61,0,3,0,0,0,0,0
서울특별시 중구 인현동1가,114,14,60,8,0,0,28,2,2,0,0,0,0,0
서울특별시 중구 저동2가,211,49,79,7,0,0,67,0,9,0,0,0,0,0
서울특별시 중구 신당동,20331,4489,7451,1626,79,6,5985,2,626,12,8,0,9,38
서울특별시 중구 흥인동,728,211,293,23,1,0,188,0,11,1,0,0,0,0
서울특별시 중구 무학동,123,21,67,5,11,0,13,0,4,0,1,0,0,1
서울특별시 중구 황학동,3402,750,1408,145,16,0,967,0,98,2,1,0,2,13
서울특별시 중구 서소문동,1297,135,947,37,3,0,137,1,10,0,0,0,0,27
서울특별시 중구 정동,338,62,161,8,1,0,95,0,11,0,0,0,0,0
서울특별시 중구 순화동,1320,221,507,39,6,0,451,0,48,0,0,0,0,48
서울특별시 중구 의주로1가,73,22,28,1,0,0,20,0,2,0,0,0,0,0
서울특별시 중구 충정로1가,29,5,16,0,0,0,8,0,0,0,0,0,0,0
서울특별시 중구 중림동,1808,443,653,90,12,1,550,0,57,0,1,0,0,1
서울특별시 중구 의주로2가,3,0,2,0,0,0,1,0,0,0,0,0,0,0
서울특별시 중구 만리동1가,527,100,241,19,4,0,132,9,21,0,1,0,0,0
서울특별시 중구 만리동2가,1523,381,462,71,11,2,502,1,87,1,0,0,1,4
서울특별시 용산구 도동1가,2,2,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 용산구 후암동,4046,942,1455,292,24,1,1209,9,107,2,1,0,3,1
서울특별시 용산구 용산동2가,2140,506,765,183,5,1,629,1,48,1,0,0,1,0
서울특별시 용산구 용산동4가,4,1,0,0,0,0,3,0,0,0,0,0,0,0
서울특별시 용산구 갈월동,1194,317,478,50,7,0,266,0,72,0,0,0,1,3
서울특별시 용산구 남영동,273,54,108,15,1,0,78,0,4,0,0,0,0,13
서울특별시 용산구 용산동1가,9,3,2,0,2,0,2,0,0,0,0,0,0,0
서울특별시 용산구 동자동,959,247,348,49,6,0,268,0,35,1,1,0,0,4
서울특별시 용산구 서계동,1268,219,513,143,3,0,361,0,29,0,0,0,0,0
서울특별시 용산구 청파동1가,1713,341,650,101,4,0,561,0,50,0,2,0,0,4
서울특별시 용산구 청파동2가,618,119,225,46,4,0,200,0,24,0,0,0,0,0
서울특별시 용산구 청파동3가,738,144,277,46,3,1,243,0,21,0,0,0,1,2
서울특별시 용산구 원효로1가,2055,494,770,95,13,0,597,3,76,2,0,0,2,3
서울특별시 용산구 원효로2가,769,153,330,48,0,1,216,0,20,0,0,0,0,1
서울특별시 용산구 신창동,611,123,221,48,1,1,193,0,23,0,0,0,0,1
서울특별시 용산구 산천동,1694,416,541,99,7,1,551,0,76,0,1,0,0,2
서울특별시 용산구 청암동,288,108,74,3,3,0,86,0,13,0,0,0,0,1
서울특별시 용산구 원효로3가,1083,171,620,48,4,0,217,0,21,0,0,0,1,1
서울특별시 용산구 원효로4가,1451,297,517,83,61,0,414,4,71,0,1,0,1,2
서울특별시 용산구 효창동,3139,720,1172,177,10,0,913,0,135,0,4,0,5,3
서울특별시 용산구 도원동,1663,419,510,86,9,2,561,0,71,1,1,0,0,3
서울특별시 용산구 용문동,1719,370,656,120,4,1,506,0,58,0,1,0,2,1
서울특별시 용산구 문배동,2215,664,810,55,18,0,553,0,110,1,0,0,0,4
서울특별시 용산구 신계동,1177,297,424,56,5,0,330,0,58,2,0,0,2,3
서울특별시 용산구 한강로1가,3748,1827,589,52,8,4,1101,1,65,0,1,0,0,100
서울특별시 용산구 한강로2가,3290,877,1267,108,21,2,882,2,118,3,2,0,2,6
서울특별시 용산구 용산동3가,240,27,93,13,0,0,99,0,7,0,0,0,1,0
서울특별시 용산구 용산동5가,1035,399,263,9,5,1,293,0,61,1,0,0,1,2
서울특별시 용산구 한강로3가,3984,1143,1462,127,30,1,1014,2,161,3,0,0,2,39
서울특별시 용산구 이촌동,15661,6078,4122,380,65,1,4157,0,825,3,4,0,9,17
서울특별시 용산구 이태원동,4847,1344,1628,280,57,0,1357,7,158,2,1,0,5,8
서울특별시 용산구 한남동,7595,2426,2584,302,67,1,1931,0,252,3,2,0,2,25
서울특별시 용산구 동빙고동,2140,487,682,167,11,1,696,0,88,1,2,0,0,5
