기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2020,4,A,골목상권,1000939,학동로77길,18382,7897,10485,81,3931,5147,4568,2902,1753,37,1378,2278,1797,1338,1069,44,2553,2869,2771,1564,684
2020,4,A,골목상권,1000938,학동로6길,12693,8132,4561,39,2720,4024,2934,1885,1091,26,1436,2695,2021,1219,735,13,1284,1329,913,666,356
2020,4,A,골목상권,1000937,학동로56길,14387,8425,5962,60,3263,4261,3139,2227,1437,29,1360,2374,2131,1487,1044,31,1903,1887,1008,740,393
2020,4,A,골목상권,1000936,학동로38길,25586,17465,8121,61,4794,7446,6044,3990,3251,17,2220,4888,4642,3174,2524,44,2574,2558,1402,816,727
2020,4,A,골목상권,1000935,테헤란로81길,55909,34430,21479,144,10080,21280,15399,6515,2491,56,4006,12817,11385,4644,1522,88,6074,8463,4014,1871,969
2020,4,A,골목상권,1000934,일원로9길,11032,3873,7159,31,3251,3561,2242,1333,614,3,670,1250,888,634,428,28,2581,2311,1354,699,186
2020,4,A,골목상권,1000933,일원로3길,3277,1943,1334,4,447,623,767,723,713,2,214,361,443,433,490,2,233,262,324,290,223
2020,4,A,골목상권,1000932,영동대로65길,35823,17183,18640,252,6607,8671,7946,7445,4902,110,3080,5179,4298,2640,1876,142,3527,3492,3648,4805,3026
2020,4,A,골목상권,1000931,영동대로112길,79440,60824,18616,152,15774,21126,21341,16831,4216,87,10103,15983,17682,14479,2490,65,5671,5143,3659,2352,1726
2020,4,A,골목상권,1000930,언주로81길,93504,56950,36554,187,17248,26811,24897,20075,4286,88,10236,18756,16178,8748,2944,99,7012,8055,8719,11327,1342
2020,4,A,골목상권,1000929,압구정로2길,12859,8055,4804,41,2476,3955,3398,2011,978,23,1102,2519,2284,1381,746,18,1374,1436,1114,630,232
2020,4,A,골목상권,1000928,선릉로18길,4438,2855,1583,57,877,1242,997,799,466,24,506,809,636,506,374,33,371,433,361,293,92
2020,4,A,골목상권,1000927,선릉로146길,21879,10989,10890,59,5999,7107,4597,2826,1291,15,1736,3412,2772,2148,906,44,4263,3695,1825,678,385
2020,4,A,골목상권,1000926,선릉로133길,21171,13647,7524,57,3803,6112,5428,3754,2017,13,1706,3650,3838,2839,1601,44,2097,2462,1590,915,416
