 교육청명 , 유치원명 , 설립유형 , 주소 , 운영시간 , 만3세학급수 , 만4세학급수 , 만5세학급수 , 혼합학급수 , 특수학급수 , 만3세유아수 , 만4세유아수 , 만5세유아수 , 혼합유아수 , 특수유아수 , 공시차수 ,입력주소,경도,위도
 서울특별시교육청 , 고운유치원 , 사립(사인) , 서울특별시 노원구 동일로208길 34 , 07시00분~20시00분 ,3,3,3,0,0,48,51,77,0,0,20211,서울특별시 노원구 동일로208길 34 ,127.0669331,37.6440335
 서울특별시교육청 , 까치유치원 , 사립(사인) , 서울특별시 노원구 덕릉로79길 23 , 07시00분~22시00분 ,2,2,3,0,0,15,31,52,0,0,20211,서울특별시 노원구 덕릉로79길 23 ,127.0729468,37.6561457
 서울특별시교육청 , 서울고척초등학교병설유치원 , 공립(병설) , 서울특별시 구로구 경서로 31 , 07시30분~19시30분 ,1,2,2,0,0,15,33,40,0,0,20211,서울특별시 구로구 경서로 31 ,126.8570815,37.5008611
 서울특별시교육청 , 서울남유치원 , 사립(사인) , 서울특별시 구로구 구로동로17길 37-4 , 07시30분~19시30분 ,2,1,2,0,0,37,31,39,0,0,20211,서울특별시 구로구 구로동로17길 37-4 ,126.8818028,37.4880507
 서울특별시교육청 , 서울탑동유치원 , 공립(단설) , 서울특별시 금천구 탑골로 47-3 , 07시30분~19시30분 ,2,2,2,0,0,9,30,29,0,0,20211,서울특별시 금천구 탑골로 47-3 ,126.9148596,37.4525333
 서울특별시교육청 , 살레시오성미유치원 , 사립(법인) , 서울특별시 영등포구 신길로 93 , 08시00분~17시00분 ,3,3,3,0,0,65,76,81,0,0,20211,서울특별시 영등포구 신길로 93 ,126.9090277,37.5015235
 서울특별시교육청 , 피노키오유치원 , 사립(사인) , 서울특별시 은평구 증산로15길 35-8 , 09시00분~20시00분 ,0,0,1,2,0,0,0,30,50,0,20182,서울특별시 은평구 증산로15길 35-8 ,126.9089604,37.5899954
 서울특별시교육청 , 한양제일유치원 , 사립(법인) , 서울특별시 서대문구 통일로25길 30 , 07시00분~19시00분 ,1,1,1,0,0,14,22,21,0,0,20211,서울특별시 서대문구 통일로25길 30 ,126.9472059,37.5830264
 서울특별시교육청 , 서울신원초등학교병설유치원 , 공립(병설) , 서울특별시 양천구 남부순환로58길 32 , 07시30분~19시30분 ,1,1,1,0,0,7,18,20,0,0,20211,서울특별시 양천구 남부순환로58길 32 ,126.8300124,37.5294742
 서울특별시교육청 , 한별유치원 , 사립(사인) , 서울특별시 도봉구 덕릉로59아길 17 , 07시00분~20시00분 ,1,1,2,0,0,19,28,44,0,0,20211,서울특별시 도봉구 덕릉로59아길 17 ,127.0369785,37.6418556
 서울특별시교육청 , 경복유치원 , 사립(사인) , 서울특별시 서대문구 세검정로1길 95 , 09시00분~20시00분 ,2,2,2,0,0,40,48,52,0,0,20211,서울특별시 서대문구 세검정로1길 95 ,126.9445523,37.5953558
 서울특별시교육청 , 성산아트유치원 , 사립(사인) , 서울특별시 마포구 새터산2길 34 , 09시00분~19시00분 ,2,2,2,0,0,33,40,37,0,0,20211,서울특별시 마포구 새터산2길 34 ,126.9090596,37.5653532
 서울특별시교육청 , 제일무궁화유치원 , 사립(사인) , 서울특별시 송파구 동남로16길 3 , 08시00분~18시00분 ,2,3,3,0,0,53,73,73,0,0,20211,서울특별시 송파구 동남로16길 3 ,127.1310033,37.4947419
 서울특별시교육청 , 동화나라유치원 , 사립(사인) , 서울특별시 노원구 덕릉로 780 , 09시00분~18시30분 ,2,1,2,0,0,17,10,33,0,0,20211,서울특별시 노원구 덕릉로 780 ,127.0796828,37.6668306
 서울특별시교육청 , 서울송전초등학교병설유치원 , 공립(병설) , 서울특별시 송파구 석촌호수로 159 , 08시50분~20시00분 ,0,1,2,0,0,0,22,32,0,0,20211,서울특별시 송파구 석촌호수로 159 ,127.0949878,37.508546
 서울특별시교육청 , 행복유치원 , 사립(법인) , 서울특별시 동작구 양녕로23길 25 , 08시30분~18시00분 ,2,2,3,0,0,36,48,66,0,0,20211,서울특별시 동작구 양녕로23길 25 ,126.9411278,37.4956795
 서울특별시교육청 , 명덕유치원 , 사립(사인) , 서울특별시 강동구 동남로83길 66 , 08시00분~17시30분 ,2,2,3,0,0,40,52,84,0,0,20211,서울특별시 강동구 동남로83길 66 ,127.1531901,37.559887
 서울특별시교육청 , 올림픽유치원 , 사립(사인) , 서울특별시 송파구 양재대로 1218 , 09시30분~17시30분 ,2,3,2,0,0,33,42,33,0,0,20211,서울특별시 송파구 양재대로 1218 ,127.1333804,37.5141141
 서울특별시교육청 , 예은유치원 , 사립(사인) , 서울특별시 송파구 오금로32길 13 , 09시00분~18시00분 ,2,2,2,0,0,46,50,47,0,0,20211,서울특별시 송파구 오금로32길 13 ,127.1204031,37.5047102
 서울특별시교육청 , 목원유치원 , 사립(사인) , 서울특별시 구로구 개봉로20길 6 , 09시30분~19시00분 ,3,3,2,0,0,54,65,48,0,0,20211,서울특별시 구로구 개봉로20길 6 ,126.858564,37.4918831
 서울특별시교육청 , 동국유치원 , 사립(사인) , 서울특별시 중랑구 용마산로 250 , 07시30분~19시30분 ,1,1,1,0,0,10,17,18,0,0,20211,서울특별시 중랑구 용마산로 250 ,127.0889774,37.574934
 서울특별시교육청 , 봄내유치원 , 사립(사인) , 서울특별시 중랑구 면목로61길 50 , 07시50분~20시00분 ,2,2,4,0,0,39,52,89,0,0,20211,서울특별시 중랑구 면목로61길 50 ,127.0855593,37.5859724
 서울특별시교육청 , 유정유치원 , 사립(사인) , 서울특별시 은평구 진흥로12길 23 , 07시30분~19시30분 ,2,2,2,0,0,39,51,58,0,0,20211,서울특별시 은평구 진흥로12길 23 ,126.9267583,37.6066835
 서울특별시교육청 , 와우랩유치원 , 사립(사인) , 서울특별시 은평구 응암로28길 34 , 09시00분~19시00분 ,2,4,3,0,0,55,83,89,0,0,20211,서울특별시 은평구 응암로28길 34 ,126.9215166,37.5939943
 서울특별시교육청 , 정님유치원 , 사립(사인) , 서울특별시 마포구 숭문6길 19 , 07시00분~19시00분 ,2,2,2,0,0,48,46,52,0,0,20211,서울특별시 마포구 숭문6길 19 ,126.9469124,37.5500009
 서울특별시교육청 , 서울청덕초등학교병설유치원 , 공립(병설) , 서울특별시 성북구 정릉로9라길 11 , 07시30분~19시30분 ,1,1,1,0,0,3,6,7,0,0,20211,서울특별시 성북구 정릉로9라길 11 ,127.0003602,37.6119972
 서울특별시교육청 , 가명유치원 , 사립(법인) , 서울특별시 중구 청파로 447-1 , 09시00분~18시00분 ,1,1,1,0,0,22,27,25,0,0,20211,서울특별시 중구 청파로 447-1 ,126.9671908,37.5591363
 서울특별시교육청 , 근화유치원 , 사립(법인) , 서울특별시 중구 동호로20길 24 , 09시00분~17시00분 ,1,0,0,3,0,22,0,0,63,0,20211,서울특별시 중구 동호로20길 24 ,127.0090562,37.5592428
 서울특별시교육청 , 배화여자대학교 부속 배화유치원 , 사립(법인) , 서울특별시 종로구 필운대로1길 34 , 09시00분~17시00분 ,1,1,1,0,0,22,26,24,0,0,20211,서울특별시 종로구 필운대로1길 34 ,126.9663873,37.5787899
 서울특별시교육청 , 탑주유치원 , 사립(법인) , 서울특별시 성북구 화랑로13길 17 , 08시00분~18시00분 ,3,2,2,0,0,62,58,55,0,0,20211,서울특별시 성북구 화랑로13길 17 ,127.0410587,37.6047392
