NO,우선순위,K,lon,lat,시,구,커버리지,id,도로명주소
116,11,15,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
117,12,15,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
118,13,15,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
119,14,15,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
120,15,15,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
121,1,16,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
122,2,16,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
123,3,16,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
124,4,16,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
125,5,16,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
126,6,16,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
127,7,16,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
128,8,16,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
129,9,16,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
130,10,16,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
131,11,16,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
132,12,16,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
133,13,16,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
134,14,16,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
135,15,16,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
136,16,16,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
137,1,17,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
138,2,17,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
139,3,17,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
140,4,17,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
141,5,17,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
142,6,17,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
143,7,17,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
144,8,17,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
145,9,17,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
146,10,17,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
147,11,17,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
148,12,17,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
149,13,17,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
150,14,17,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
151,15,17,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
152,16,17,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
153,17,17,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
154,1,18,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
155,2,18,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
156,3,18,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
157,4,18,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
158,5,18,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
159,6,18,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
160,7,18,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
161,8,18,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
162,9,18,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
163,10,18,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
164,11,18,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
165,12,18,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
166,13,18,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
167,14,18,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
168,15,18,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
169,16,18,126.8374145,37.52088897,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 538
170,17,18,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
171,18,18,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
172,1,19,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
173,2,19,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
174,3,19,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
175,4,19,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
176,5,19,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
177,6,19,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
178,7,19,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
179,8,19,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
180,9,19,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
181,10,19,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
182,11,19,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
183,12,19,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
184,13,19,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
185,14,19,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
186,15,19,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
187,16,19,126.8374145,37.52088897,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 538
188,17,19,127.1317174,37.50594889,서울특별시,송파구,1.5km,,서울특별시 송파구 마천로 103
189,18,19,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
190,19,19,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
191,1,20,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
192,2,20,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
193,3,20,127.1034226,37.50766,서울특별시,송파구,1.5km,,서울특별시 송파구 백제고분로39길 40
194,4,20,127.0356428,37.49028717,서울특별시,강남구,1.5km,,서울특별시 강남구 강남대로58길 45
195,5,20,127.129303,37.53658752,서울특별시,강동구,1.5km,,서울특별시 강동구 천호대로 1056
196,6,20,127.0785766,37.49946173,서울특별시,강남구,1.5km,,서울특별시 강남구 남부순환로 3183
197,7,20,126.9060274,37.57353209,서울특별시,서대문구,1.5km,,서울특별시 서대문구 수색로 123
198,8,20,127.0169049,37.58936078,서울특별시,성북구,1.5km,,서울특별시 성북구 삼선동5가 보문로 168
199,9,20,126.8270683,37.53885739,서울특별시,양천구,1.5km,,서울특별시 양천구 화곡로4길 2
200,10,20,126.8771776,37.50217699,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로55길 17
201,11,20,126.8475203,37.52995871,서울특별시,강서구,1.5km,,서울특별시 강서구 강서로 21
202,12,20,126.9022103,37.48427922,서울특별시,구로구,1.5km,,서울특별시 구로구 시흥대로 573
203,13,20,127.058973,37.56248502,서울특별시,동대문구,1.5km,,서울특별시 동대문구 천호대로 361
204,14,20,126.8608626,37.55797338,서울특별시,강서구,1.5km,,서울특별시 강서구 양천로 556
205,15,20,126.8316682,37.53077141,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 412
206,16,20,126.8374145,37.52088897,서울특별시,양천구,1.5km,,서울특별시 양천구 남부순환로 538
207,17,20,127.1317174,37.50594889,서울특별시,송파구,1.5km,,서울특별시 송파구 마천로 103
208,18,20,127.032418,37.64440506,서울특별시,도봉구,1.5km,,서울특별시 도봉구 도봉로 430
209,19,20,126.8164618,37.58476484,서울특별시,강서구,1.5km,,서울특별시 강서구 금낭화로26가길 152-186
210,20,20,127.0737078,37.55983509,서울특별시,광진구,1.5km,,서울특별시 광진구 동일로 322
211,1,21,127.0668206,37.57603432,서울특별시,동대문구,1.5km,,서울특별시 동대문구 한천로33길 15
212,2,21,126.8602541,37.49667843,서울특별시,구로구,1.5km,,서울특별시 구로구 경인로 364
