NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
163,10,18,127.0169049,37.58936078,서울특별시,성북구,2km,서울특별시 성북구 삼선동5가 보문로 168
164,11,18,127.058973,37.56248502,서울특별시,동대문구,2km,서울특별시 동대문구 천호대로 361
165,12,18,126.8270683,37.53885739,서울특별시,양천구,2km,서울특별시 양천구 화곡로4길 2
166,13,18,126.8608626,37.55797338,서울특별시,강서구,2km,서울특별시 강서구 양천로 556
167,14,18,126.8316682,37.53077141,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 412
168,15,18,126.8374145,37.52088897,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 538
169,16,18,127.1317174,37.50594889,서울특별시,송파구,2km,서울특별시 송파구 마천로 103
170,17,18,126.8164618,37.58476484,서울특별시,강서구,2km,서울특별시 강서구 금낭화로26가길 152-186
171,18,18,127.0737078,37.55983509,서울특별시,광진구,2km,서울특별시 광진구 동일로 322
172,1,19,127.1034226,37.50766,서울특별시,송파구,2km,서울특별시 송파구 백제고분로39길 40
173,2,19,127.0668206,37.57603432,서울특별시,동대문구,2km,서울특별시 동대문구 한천로33길 15
174,3,19,127.129303,37.53658752,서울특별시,강동구,2km,서울특별시 강동구 천호대로 1056
175,4,19,126.8602541,37.49667843,서울특별시,구로구,2km,서울특별시 구로구 경인로 364
176,5,19,127.0751929,37.49764689,서울특별시,강남구,2km,서울특별시 강남구 남부순환로 3154
177,6,19,126.9060274,37.57353209,서울특별시,서대문구,2km,서울특별시 서대문구 수색로 123
178,7,19,126.8771776,37.50217699,서울특별시,구로구,2km,서울특별시 구로구 경인로55길 17
179,8,19,126.9022103,37.48427922,서울특별시,구로구,2km,서울특별시 구로구 시흥대로 573
180,9,19,126.8475203,37.52995871,서울특별시,강서구,2km,서울특별시 강서구 강서로 21
181,10,19,127.0169049,37.58936078,서울특별시,성북구,2km,서울특별시 성북구 삼선동5가 보문로 168
182,11,19,127.058973,37.56248502,서울특별시,동대문구,2km,서울특별시 동대문구 천호대로 361
183,12,19,126.8270683,37.53885739,서울특별시,양천구,2km,서울특별시 양천구 화곡로4길 2
184,13,19,126.8608626,37.55797338,서울특별시,강서구,2km,서울특별시 강서구 양천로 556
185,14,19,126.8316682,37.53077141,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 412
186,15,19,126.8374145,37.52088897,서울특별시,양천구,2km,서울특별시 양천구 남부순환로 538
187,16,19,127.1317174,37.50594889,서울특별시,송파구,2km,서울특별시 송파구 마천로 103
188,17,19,127.032418,37.64440506,서울특별시,도봉구,2km,서울특별시 도봉구 도봉로 430
