NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
164,11,18,126.8374145,37.52088897,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 538
165,12,18,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
166,13,18,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
167,14,18,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
168,15,18,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
169,16,18,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
170,17,18,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
171,18,18,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
172,1,19,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
173,2,19,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
174,3,19,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
175,4,19,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
176,5,19,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
177,6,19,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
178,7,19,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
179,8,19,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
180,9,19,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
181,10,19,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
182,11,19,126.8374145,37.52088897,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 538
183,12,19,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
184,13,19,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
185,14,19,127.1317174,37.50594889,서울특별시,송파구,1km,서울특별시 송파구 마천로 103
186,15,19,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
187,16,19,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
188,17,19,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
189,18,19,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
190,19,19,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
191,1,20,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
192,2,20,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
193,3,20,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
194,4,20,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
195,5,20,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
196,6,20,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
197,7,20,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
198,8,20,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
199,9,20,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
200,10,20,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
201,11,20,126.8374145,37.52088897,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 538
202,12,20,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
203,13,20,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
204,14,20,127.1317174,37.50594889,서울특별시,송파구,1km,서울특별시 송파구 마천로 103
205,15,20,127.032418,37.64440506,서울특별시,도봉구,1km,서울특별시 도봉구 도봉로 430
206,16,20,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
207,17,20,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
208,18,20,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
209,19,20,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
210,20,20,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
211,1,21,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
212,2,21,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
213,3,21,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
214,4,21,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
215,5,21,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
216,6,21,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
217,7,21,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
218,8,21,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
219,9,21,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
220,10,21,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
221,11,21,126.8374145,37.52088897,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 538
222,12,21,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
223,13,21,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
224,14,21,127.1317174,37.50594889,서울특별시,송파구,1km,서울특별시 송파구 마천로 103
225,15,21,127.032418,37.64440506,서울특별시,도봉구,1km,서울특별시 도봉구 도봉로 430
226,16,21,126.8978669,37.46172322,서울특별시,금천구,1km,서울특별시 금천구 시흥대로 316
227,17,21,127.1034178,37.50856135,서울특별시,송파구,1km,서울특별시 송파구 송파대로 475-2
228,18,21,126.8164535,37.58566613,서울특별시,강서구,1km,서울특별시 강서구 양천로27길 261-40
229,19,21,126.8771851,37.50127567,서울특별시,구로구,1km,서울특별시 구로구 경인로 531
230,20,21,126.9022103,37.48427922,서울특별시,구로구,1km,서울특별시 구로구 시흥대로 573
231,21,21,127.0737078,37.55983509,서울특별시,광진구,1km,서울특별시 광진구 동일로 322
232,1,22,127.0668206,37.57603432,서울특별시,동대문구,1km,서울특별시 동대문구 한천로33길 15
233,2,22,126.8602541,37.49667843,서울특별시,구로구,1km,서울특별시 구로구 경인로 364
234,3,22,127.0169049,37.58936078,서울특별시,성북구,1km,서울특별시 성북구 삼선동5가 보문로 168
235,4,22,126.8270683,37.53885739,서울특별시,양천구,1km,서울특별시 양천구 화곡로4길 2
236,5,22,127.0356428,37.49028717,서울특별시,강남구,1km,서울특별시 강남구 강남대로58길 45
237,6,22,127.0785766,37.49946173,서울특별시,강남구,1km,서울특별시 강남구 남부순환로 3183
238,7,22,126.8475203,37.52995871,서울특별시,강서구,1km,서울특별시 강서구 강서로 21
239,8,22,126.9060274,37.57353209,서울특별시,서대문구,1km,서울특별시 서대문구 수색로 123
240,9,22,127.129303,37.53658752,서울특별시,강동구,1km,서울특별시 강동구 천호대로 1056
241,10,22,126.8316682,37.53077141,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 412
242,11,22,126.8374145,37.52088897,서울특별시,양천구,1km,서울특별시 양천구 남부순환로 538
243,12,22,127.0589677,37.56338635,서울특별시,동대문구,1km,서울특별시 동대문구 한천로2길 6
244,13,22,126.8608626,37.55797338,서울특별시,강서구,1km,서울특별시 강서구 양천로 556
245,14,22,127.1317174,37.50594889,서울특별시,송파구,1km,서울특별시 송파구 마천로 103
246,15,22,127.032418,37.64440506,서울특별시,도봉구,1km,서울특별시 도봉구 도봉로 430
247,16,22,126.8978669,37.46172322,서울특별시,금천구,1km,서울특별시 금천구 시흥대로 316
248,17,22,127.0609412,37.61296776,서울특별시,성북구,1km,서울특별시 성북구 화랑로 292
