NO,K,lon,lat
83,13,126.9531867,37.47370984
84,13,126.8602541,37.49667843
85,13,126.8316682,37.53077141
86,13,126.8374145,37.52088897
87,13,127.0785766,37.49946173
88,13,126.8164535,37.58566613
89,13,127.0737078,37.55983509
90,13,126.8608626,37.55797338
91,13,127.058973,37.56248502
92,14,127.0559692,37.68685877
93,14,126.9339614,37.47361931
94,14,126.8475203,37.52995871
95,14,126.8270683,37.53885739
96,14,126.9531867,37.47370984
97,14,126.8602541,37.49667843
98,14,126.8316682,37.53077141
99,14,126.8374145,37.52088897
100,14,127.0785766,37.49946173
101,14,127.1034178,37.50856135
102,14,126.8164535,37.58566613
103,14,127.0737078,37.55983509
104,14,126.8608626,37.55797338
105,14,127.058973,37.56248502
106,15,127.0559692,37.68685877
107,15,126.9339614,37.47361931
108,15,126.8475203,37.52995871
109,15,126.8270683,37.53885739
110,15,126.9531867,37.47370984
111,15,126.8602541,37.49667843
112,15,126.8316682,37.53077141
113,15,126.8374145,37.52088897
114,15,127.0785766,37.49946173
115,15,127.1034178,37.50856135
116,15,126.8164535,37.58566613
117,15,127.0737078,37.55983509
118,15,127.0722508,37.61661466
119,15,126.8608626,37.55797338
120,15,127.058973,37.56248502
121,16,127.0559692,37.68685877
122,16,126.9339614,37.47361931
123,16,126.8475203,37.52995871
124,16,126.8270683,37.53885739
125,16,126.9531867,37.47370984
126,16,126.8602541,37.49667843
127,16,126.8316682,37.53077141
128,16,126.8374145,37.52088897
129,16,127.0792574,37.57968469
130,16,127.0785766,37.49946173
131,16,127.1034178,37.50856135
132,16,126.8164535,37.58566613
133,16,127.0737078,37.55983509
134,16,127.0722508,37.61661466
135,16,126.8608626,37.55797338
136,16,127.058973,37.56248502
137,17,127.0559692,37.68685877
138,17,126.9339614,37.47361931
139,17,126.8475203,37.52995871
140,17,126.8270683,37.53885739
141,17,126.9531867,37.47370984
142,17,126.8602541,37.49667843
143,17,126.8316682,37.53077141
144,17,126.8374145,37.52088897
145,17,127.0792574,37.57968469
146,17,127.0222801,37.63444973
147,17,127.0785766,37.49946173
148,17,127.1034178,37.50856135
149,17,126.8164535,37.58566613
150,17,127.0737078,37.55983509
151,17,127.0722508,37.61661466
152,17,126.8608626,37.55797338
153,17,127.058973,37.56248502
154,18,127.0559692,37.68685877
155,18,126.9339614,37.47361931
156,18,126.8475203,37.52995871
157,18,126.8270683,37.53885739
158,18,126.9531867,37.47370984
159,18,126.8602541,37.49667843
160,18,126.8316682,37.53077141
161,18,126.8374145,37.52088897
162,18,127.0792574,37.57968469
163,18,127.0222801,37.63444973
164,18,127.0840381,37.53463405
165,18,127.0785766,37.49946173
166,18,127.1034178,37.50856135
167,18,126.8164535,37.58566613
168,18,127.0737078,37.55983509
169,18,127.0722508,37.61661466
170,18,126.8608626,37.55797338
171,18,127.058973,37.56248502
172,19,127.0559692,37.68685877
173,19,126.9339614,37.47361931
174,19,126.8475203,37.52995871
175,19,126.8270683,37.53885739
176,19,126.9531867,37.47370984
177,19,126.8602541,37.49667843
178,19,126.8316682,37.53077141
179,19,126.8374145,37.52088897
180,19,127.0792574,37.57968469
181,19,127.0222801,37.63444973
182,19,127.0840381,37.53463405
183,19,126.8978669,37.46172322
184,19,127.0785766,37.49946173
185,19,127.1034178,37.50856135
186,19,126.8164535,37.58566613
187,19,127.0737078,37.55983509
188,19,127.0722508,37.61661466
189,19,126.8608626,37.55797338
190,19,127.058973,37.56248502
191,20,127.0559692,37.68685877
192,20,126.9339614,37.47361931
193,20,126.8475203,37.52995871
194,20,126.8270683,37.53885739
195,20,126.9531867,37.47370984
196,20,126.8602541,37.49667843
197,20,126.8316682,37.53077141
198,20,126.8374145,37.52088897
199,20,127.0792574,37.57968469
200,20,127.0222801,37.63444973
201,20,127.0840381,37.53463405
202,20,126.8978669,37.46172322
203,20,127.032418,37.64440506
204,20,127.0785766,37.49946173
205,20,127.1034178,37.50856135
206,20,126.8164535,37.58566613
207,20,127.0737078,37.55983509
208,20,127.0722508,37.61661466
209,20,126.8608626,37.55797338
210,20,127.058973,37.56248502
211,21,127.0559692,37.68685877
212,21,126.9339614,37.47361931
213,21,126.8475203,37.52995871
214,21,126.8270683,37.53885739
215,21,126.9531867,37.47370984
216,21,126.8602541,37.49667843
217,21,126.8316682,37.53077141
218,21,126.8374145,37.52088897
219,21,127.0792574,37.57968469
220,21,127.0222801,37.63444973
221,21,127.0840381,37.53463405
222,21,126.8978669,37.46172322
223,21,127.032418,37.64440506
224,21,127.0785766,37.49946173
225,21,127.0675304,37.64904569
226,21,127.1034178,37.50856135
227,21,126.8164535,37.58566613
228,21,127.0737078,37.55983509
229,21,127.0722508,37.61661466
230,21,126.8608626,37.55797338
231,21,127.058973,37.56248502
232,22,127.0559692,37.68685877
233,22,126.9339614,37.47361931
234,22,126.8475203,37.52995871
235,22,126.8270683,37.53885739
236,22,126.9531867,37.47370984
237,22,126.8602541,37.49667843
238,22,126.8316682,37.53077141
239,22,126.8374145,37.52088897
240,22,127.0792574,37.57968469
241,22,127.0222801,37.63444973
242,22,127.0840381,37.53463405
243,22,126.8978669,37.46172322
244,22,127.032418,37.64440506
245,22,127.0785766,37.49946173
246,22,127.0675304,37.64904569
247,22,126.9825529,37.47925026
248,22,127.1034178,37.50856135
249,22,126.8164535,37.58566613
250,22,127.0737078,37.55983509
251,22,127.0722508,37.61661466
252,22,126.8608626,37.55797338
253,22,127.058973,37.56248502
254,23,127.0559692,37.68685877
255,23,126.9339614,37.47361931
256,23,126.8475203,37.52995871
257,23,126.8270683,37.53885739
258,23,126.9531867,37.47370984
259,23,126.8602541,37.49667843
260,23,126.8316682,37.53077141
261,23,126.8374145,37.52088897
262,23,127.0792574,37.57968469
263,23,127.0222801,37.63444973
264,23,127.0840381,37.53463405
265,23,126.8978669,37.46172322
266,23,127.032418,37.64440506
267,23,127.0785766,37.49946173
268,23,127.0675304,37.64904569
269,23,126.9825529,37.47925026
270,23,126.9950363,37.47299474
271,23,127.1034178,37.50856135
272,23,126.8164535,37.58566613
273,23,127.0737078,37.55983509
274,23,127.0722508,37.61661466
275,23,126.8608626,37.55797338
276,23,127.058973,37.56248502
277,24,127.0559692,37.68685877
278,24,126.9339614,37.47361931
279,24,126.8475203,37.52995871
280,24,126.8270683,37.53885739
281,24,126.9531867,37.47370984
282,24,126.8602541,37.49667843
283,24,126.8316682,37.53077141
284,24,126.8374145,37.52088897
285,24,127.0792574,37.57968469
286,24,127.0222801,37.63444973
287,24,127.0840381,37.53463405
288,24,126.8978669,37.46172322
289,24,127.032418,37.64440506
290,24,127.0785766,37.49946173
291,24,127.0675304,37.64904569
292,24,126.9825529,37.47925026
293,24,126.9950363,37.47299474
294,24,127.1034178,37.50856135
295,24,127.0668206,37.57603432
