NO,K,lon,lat,시,구,도로명주소,id,
100,14,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,100,2904
101,14,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,101,2903
102,14,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,102,2902
103,14,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,103,2901
104,14,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,104,2900
105,14,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,105,2899
106,15,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,106,2898
107,15,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,107,2897
108,15,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,108,2896
109,15,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,109,2895
110,15,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,110,2894
111,15,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,111,2893
112,15,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,112,2892
113,15,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,113,2891
114,15,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,114,2890
115,15,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,115,2889
116,15,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,116,2888
117,15,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,117,2887
118,15,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,118,2886
119,15,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,119,2885
120,15,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,120,2884
121,16,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,121,2883
122,16,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,122,2882
123,16,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,123,2881
124,16,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,124,2880
125,16,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,125,2879
126,16,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,126,2878
127,16,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,127,2877
128,16,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,128,2876
129,16,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,129,2875
130,16,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,130,2874
131,16,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,131,2873
132,16,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,132,2872
133,16,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,133,2871
134,16,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,134,2870
135,16,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,135,2869
136,16,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,136,2868
137,17,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,137,2867
138,17,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,138,2866
139,17,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,139,2865
140,17,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,140,2864
141,17,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,141,2863
142,17,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,142,2862
143,17,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,143,2861
144,17,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,144,2860
145,17,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,145,2859
146,17,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,146,2858
147,17,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,147,2857
148,17,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,148,2856
149,17,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,149,2855
150,17,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,150,2854
151,17,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,151,2853
152,17,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,152,2852
153,17,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,153,2851
154,18,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,154,2850
155,18,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,155,2849
156,18,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,156,2848
157,18,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,157,2847
